=== Training started for Eva with strategy: full ===
Device: cuda, LR: 0.0001, Batch size: 50, Epochs: 20
[Strategy 3] Training all weights: 85,838,594 / 85,838,594 (100.00%)
[Eva] Train Epoch 1: Loss=0.19624, Acc=0.93095
[Eva] Val Epoch 1: Loss=0.08796, Acc=0.96667
[Eva] Warning: very low grad mean (9.64e-05)
[Eva] Warning: very low grad mean (3.58e-05)
[Eva] Warning: very low grad mean (8.45e-05)
[Eva] Warning: very low grad mean (4.02e-05)
[Eva] Warning: very low grad mean (2.15e-05)
[Eva] Warning: very low grad mean (5.22e-05)
[Eva] Train Epoch 2: Loss=0.04001, Acc=0.98810
[Eva] Val Epoch 2: Loss=0.08002, Acc=0.97333
[Eva] Warning: very low grad mean (7.91e-05)
[Eva] Warning: very low grad mean (9.31e-05)
[Eva] Warning: very low grad mean (2.82e-05)
[Eva] Warning: very low grad mean (6.68e-05)
[Eva] Warning: very low grad mean (8.04e-05)
[Eva] Warning: very low grad mean (8.46e-05)
[Eva] Warning: very low grad mean (6.56e-05)
[Eva] Warning: very low grad mean (4.30e-05)
[Eva] Warning: very low grad mean (8.57e-06)
[Eva] Warning: very low grad mean (1.61e-05)
[Eva] Warning: very low grad mean (6.78e-05)
[Eva] Warning: very low grad mean (8.94e-06)
[Eva] Warning: very low grad mean (2.67e-05)
[Eva] Warning: very low grad mean (3.43e-05)
[Eva] Warning: very low grad mean (2.47e-05)
[Eva] Train Epoch 3: Loss=0.02665, Acc=0.99048
[Eva] Val Epoch 3: Loss=0.08804, Acc=0.97778
[Eva] Warning: very low grad mean (4.76e-05)
[Eva] Warning: very low grad mean (9.03e-06)
[Eva] Warning: very low grad mean (1.51e-05)
[Eva] Warning: very low grad mean (5.26e-05)
[Eva] Warning: very low grad mean (1.94e-05)
[Eva] Warning: very low grad mean (9.74e-05)
[Eva] Warning: very low grad mean (3.71e-05)
[Eva] Warning: very low grad mean (3.17e-05)
[Eva] Warning: very low grad mean (1.17e-05)
[Eva] Warning: very low grad mean (2.63e-05)
[Eva] Warning: very low grad mean (5.66e-05)
[Eva] Warning: very low grad mean (3.05e-05)
[Eva] Warning: very low grad mean (1.96e-05)
[Eva] Warning: very low grad mean (4.96e-05)
[Eva] Warning: very low grad mean (8.41e-06)
