=== Training started for ResNet with strategy: full ===
Device: cuda, LR: 0.0001, Batch size: 50, Epochs: 20
[Strategy 3] Training all weights: 58,668,866 / 58,668,866 (100.00%)
[ResNet] Train Epoch 1: Loss=0.33834, Acc=0.87857
[ResNet] Val Epoch 1: Loss=0.13431, Acc=0.94222
[ResNet] Warning: very low grad mean (8.34e-05)
[ResNet] Warning: very low grad mean (9.83e-05)
[ResNet] Warning: very low grad mean (9.60e-05)
[ResNet] Warning: very low grad mean (4.08e-05)
[ResNet] Warning: very low grad mean (9.40e-05)
[ResNet] Warning: very low grad mean (6.19e-05)
[ResNet] Warning: very low grad mean (7.14e-05)
[ResNet] Warning: very low grad mean (3.70e-05)
[ResNet] Train Epoch 2: Loss=0.05312, Acc=0.98476
[ResNet] Val Epoch 2: Loss=0.14328, Acc=0.95111
[ResNet] Warning: very low grad mean (2.11e-05)
[ResNet] Warning: very low grad mean (8.96e-05)
[ResNet] Warning: very low grad mean (3.49e-05)
[ResNet] Warning: very low grad mean (4.01e-05)
[ResNet] Warning: very low grad mean (8.66e-05)
[ResNet] Warning: very low grad mean (7.18e-05)
[ResNet] Warning: very low grad mean (4.33e-05)
[ResNet] Warning: very low grad mean (3.93e-05)
[ResNet] Warning: very low grad mean (4.15e-05)
[ResNet] Warning: very low grad mean (6.40e-05)
[ResNet] Warning: very low grad mean (6.06e-05)
[ResNet] Warning: very low grad mean (1.78e-05)
[ResNet] Warning: very low grad mean (2.17e-05)
[ResNet] Warning: very low grad mean (5.90e-05)
[ResNet] Train Epoch 3: Loss=0.04343, Acc=0.98571
[ResNet] Val Epoch 3: Loss=0.09141, Acc=0.97333
[ResNet] Warning: very low grad mean (2.75e-05)
[ResNet] Warning: very low grad mean (7.79e-05)
[ResNet] Warning: very low grad mean (2.15e-05)
[ResNet] Warning: very low grad mean (4.32e-05)
[ResNet] Warning: very low grad mean (4.04e-05)
[ResNet] Warning: very low grad mean (5.13e-05)
[ResNet] Warning: very low grad mean (5.10e-05)
[ResNet] Warning: very low grad mean (9.39e-05)
[ResNet] Warning: very low grad mean (6.61e-05)
[ResNet] Warning: very low grad mean (9.83e-05)
[ResNet] Warning: very low grad mean (8.24e-05)
[ResNet] Warning: very low grad mean (2.99e-05)
[ResNet] Warning: very low grad mean (3.78e-05)
[ResNet] Warning: very low grad mean (7.90e-05)
[ResNet] Warning: very low grad mean (8.03e-05)
[ResNet] Warning: very low grad mean (3.59e-05)
[ResNet] Warning: very low grad mean (9.84e-05)
[ResNet] Warning: very low grad mean (1.29e-05)
[ResNet] Warning: very low grad mean (6.69e-05)
[ResNet] Warning: very low grad mean (8.26e-05)
[ResNet] Warning: very low grad mean (1.27e-05)
[ResNet] Warning: very low grad mean (7.63e-05)
[ResNet] Warning: very low grad mean (5.34e-05)
[ResNet] Warning: very low grad mean (4.97e-06)
[ResNet] Warning: very low grad mean (8.67e-06)
[ResNet] Warning: very low grad mean (2.01e-05)
[ResNet] Warning: very low grad mean (1.77e-05)
[ResNet] Warning: very low grad mean (1.62e-05)
[ResNet] Warning: very low grad mean (1.98e-05)
[ResNet] Warning: very low grad mean (1.47e-05)
[ResNet] Warning: very low grad mean (1.27e-05)
[ResNet] Train Epoch 4: Loss=0.01369, Acc=0.99619
[ResNet] Val Epoch 4: Loss=0.09264, Acc=0.96444
[ResNet] Warning: very low grad mean (4.52e-05)
[ResNet] Warning: very low grad mean (2.53e-05)
[ResNet] Warning: very low grad mean (5.37e-05)
[ResNet] Warning: very low grad mean (3.74e-05)
[ResNet] Warning: very low grad mean (3.32e-05)
[ResNet] Warning: very low grad mean (3.70e-06)
[ResNet] Warning: very low grad mean (1.11e-05)
[ResNet] Warning: very low grad mean (1.40e-05)
[ResNet] Warning: very low grad mean (5.56e-05)
[ResNet] Warning: very low grad mean (2.57e-05)
[ResNet] Warning: very low grad mean (4.79e-06)
[ResNet] Warning: very low grad mean (3.71e-05)
[ResNet] Warning: very low grad mean (8.91e-06)
[ResNet] Warning: very low grad mean (4.48e-05)
[ResNet] Warning: very low grad mean (2.43e-05)
[ResNet] Warning: very low grad mean (1.18e-05)
[ResNet] Warning: very low grad mean (9.32e-06)
[ResNet] Warning: very low grad mean (1.42e-05)
[ResNet] Warning: very low grad mean (2.56e-05)
[ResNet] Warning: very low grad mean (2.13e-05)
[ResNet] Warning: very low grad mean (9.88e-06)
[ResNet] Warning: very low grad mean (1.71e-05)
[ResNet] Warning: very low grad mean (8.37e-06)
[ResNet] Warning: very low grad mean (1.38e-05)
[ResNet] Warning: very low grad mean (3.36e-05)
[ResNet] Warning: very low grad mean (2.67e-06)
[ResNet] Warning: very low grad mean (9.14e-06)
[ResNet] Warning: very low grad mean (2.28e-06)
[ResNet] Warning: very low grad mean (9.46e-05)
[ResNet] Warning: very low grad mean (9.15e-06)
[ResNet] Warning: very low grad mean (1.39e-05)
[ResNet] Warning: very low grad mean (4.33e-06)
[ResNet] Warning: very low grad mean (2.84e-05)
[ResNet] Warning: very low grad mean (5.06e-05)
[ResNet] Train Epoch 5: Loss=0.00538, Acc=0.99905
[ResNet] Val Epoch 5: Loss=0.11448, Acc=0.96889
[ResNet] Warning: very low grad mean (2.49e-06)
[ResNet] Warning: very low grad mean (3.03e-06)
[ResNet] Warning: very low grad mean (6.47e-06)
[ResNet] Warning: very low grad mean (1.26e-05)
[ResNet] Warning: very low grad mean (1.13e-05)
[ResNet] Warning: very low grad mean (1.18e-06)
[ResNet] Warning: very low grad mean (2.80e-05)
[ResNet] Warning: very low grad mean (1.69e-05)
[ResNet] Warning: very low grad mean (4.97e-05)
[ResNet] Warning: very low grad mean (6.03e-06)
[ResNet] Warning: very low grad mean (4.72e-06)
[ResNet] Warning: very low grad mean (4.74e-06)
[ResNet] Warning: very low grad mean (1.43e-05)
[ResNet] Warning: very low grad mean (9.09e-05)
[ResNet] Warning: very low grad mean (2.50e-06)
[ResNet] Warning: very low grad mean (8.79e-06)
[ResNet] Warning: very low grad mean (1.02e-05)
[ResNet] Warning: very low grad mean (2.51e-05)
[ResNet] Warning: very low grad mean (1.06e-05)
[ResNet] Warning: very low grad mean (2.43e-05)
[ResNet] Warning: very low grad mean (2.48e-05)
