=== Training started for CLIPClassifier with strategy: head_only ===
Device: cuda, LR: 0.0001, Batch size: 50, Epochs: 20
[Strategy 1] Training only classifier head: 197,378 / 149,818,115 (0.13%)
[CLIPClassifier] Train Epoch 1: Loss=0.26548, Acc=0.94905
[CLIPClassifier] Val Epoch 1: Loss=0.08411, Acc=0.99111
[CLIPClassifier] Train Epoch 2: Loss=0.06789, Acc=0.98381
[CLIPClassifier] Val Epoch 2: Loss=0.05193, Acc=0.99333
[CLIPClassifier] Train Epoch 3: Loss=0.04695, Acc=0.98571
[CLIPClassifier] Val Epoch 3: Loss=0.04214, Acc=0.99111
[CLIPClassifier] Train Epoch 4: Loss=0.03933, Acc=0.98762
[CLIPClassifier] Val Epoch 4: Loss=0.03925, Acc=0.99333
[CLIPClassifier] Train Epoch 5: Loss=0.03241, Acc=0.99238
[CLIPClassifier] Val Epoch 5: Loss=0.03878, Acc=0.99333
[CLIPClassifier] Train Epoch 6: Loss=0.02782, Acc=0.99095
[CLIPClassifier] Val Epoch 6: Loss=0.03570, Acc=0.99333
[CLIPClassifier] Train Epoch 7: Loss=0.02695, Acc=0.99333
[CLIPClassifier] Val Epoch 7: Loss=0.03410, Acc=0.99333
[CLIPClassifier] Train Epoch 8: Loss=0.02239, Acc=0.99286
[CLIPClassifier] Val Epoch 8: Loss=0.03821, Acc=0.99333
[CLIPClassifier] Train Epoch 9: Loss=0.01912, Acc=0.99524
[CLIPClassifier] Val Epoch 9: Loss=0.03620, Acc=0.99333
[CLIPClassifier] Train Epoch 10: Loss=0.01904, Acc=0.99571
[CLIPClassifier] Val Epoch 10: Loss=0.03567, Acc=0.99333
[CLIPClassifier] Train Epoch 11: Loss=0.01698, Acc=0.99619
[CLIPClassifier] Val Epoch 11: Loss=0.03493, Acc=0.99111
[CLIPClassifier] Train Epoch 12: Loss=0.01726, Acc=0.99667
[CLIPClassifier] Val Epoch 12: Loss=0.03414, Acc=0.99333
[CLIPClassifier] Train Epoch 13: Loss=0.01337, Acc=0.99667
[CLIPClassifier] Val Epoch 13: Loss=0.03528, Acc=0.99333
[CLIPClassifier] Train Epoch 14: Loss=0.01187, Acc=0.99810
[CLIPClassifier] Val Epoch 14: Loss=0.03528, Acc=0.99333
[CLIPClassifier] Train Epoch 15: Loss=0.01303, Acc=0.99571
[CLIPClassifier] Val Epoch 15: Loss=0.03337, Acc=0.99333
[CLIPClassifier] Train Epoch 16: Loss=0.01101, Acc=0.99810
[CLIPClassifier] Val Epoch 16: Loss=0.03909, Acc=0.99111
[CLIPClassifier] Train Epoch 17: Loss=0.00984, Acc=0.99857
[CLIPClassifier] Val Epoch 17: Loss=0.03867, Acc=0.99111
[CLIPClassifier] Train Epoch 18: Loss=0.00815, Acc=0.99905
[CLIPClassifier] Val Epoch 18: Loss=0.03909, Acc=0.99111
[CLIPClassifier] Warning: very low grad mean (9.25e-05)
[CLIPClassifier] Train Epoch 19: Loss=0.00817, Acc=0.99857
[CLIPClassifier] Val Epoch 19: Loss=0.04396, Acc=0.99333
[CLIPClassifier] Warning: very low grad mean (8.42e-05)
[CLIPClassifier] Train Epoch 20: Loss=0.00807, Acc=0.99857
[CLIPClassifier] Val Epoch 20: Loss=0.03691, Acc=0.99111
Accuracy on Test: 0.99111
=== Training finished for CLIPClassifier ===

