=== Training started for VisionTransformer with strategy: lora ===
Device: cuda, LR: 0.0001, Batch size: 50, Epochs: 20
[Strategy 4] Training with LoRA: 7,159,936 / 93,155,970 (7.69%)
[VisionTransformer] Train Epoch 1: Loss=0.46577, Acc=0.83238
[VisionTransformer] Val Epoch 1: Loss=0.17777, Acc=0.94222
[VisionTransformer] Train Epoch 2: Loss=0.12612, Acc=0.95714
[VisionTransformer] Val Epoch 2: Loss=0.14509, Acc=0.94889
[VisionTransformer] Warning: very low grad mean (9.86e-05)
[VisionTransformer] Warning: very low grad mean (8.92e-05)
[VisionTransformer] Train Epoch 3: Loss=0.07641, Acc=0.97190
[VisionTransformer] Val Epoch 3: Loss=0.12461, Acc=0.96000
[VisionTransformer] Warning: very low grad mean (5.98e-05)
[VisionTransformer] Warning: very low grad mean (8.91e-05)
[VisionTransformer] Warning: very low grad mean (7.87e-05)
[VisionTransformer] Warning: very low grad mean (8.54e-05)
[VisionTransformer] Train Epoch 4: Loss=0.03970, Acc=0.98619
[VisionTransformer] Val Epoch 4: Loss=0.11529, Acc=0.96222
[VisionTransformer] Warning: very low grad mean (5.36e-05)
[VisionTransformer] Warning: very low grad mean (6.67e-05)
[VisionTransformer] Warning: very low grad mean (5.21e-05)
[VisionTransformer] Warning: very low grad mean (9.60e-05)
[VisionTransformer] Warning: very low grad mean (7.95e-05)
[VisionTransformer] Warning: very low grad mean (3.93e-05)
[VisionTransformer] Warning: very low grad mean (6.90e-05)
[VisionTransformer] Warning: very low grad mean (6.30e-05)
[VisionTransformer] Warning: very low grad mean (7.99e-05)
[VisionTransformer] Warning: very low grad mean (4.75e-05)
[VisionTransformer] Warning: very low grad mean (8.67e-05)
[VisionTransformer] Warning: very low grad mean (3.95e-05)
[VisionTransformer] Warning: very low grad mean (8.82e-05)
[VisionTransformer] Warning: very low grad mean (5.10e-05)
[VisionTransformer] Warning: very low grad mean (8.84e-05)
[VisionTransformer] Warning: very low grad mean (4.15e-05)
[VisionTransformer] Warning: very low grad mean (7.16e-05)
[VisionTransformer] Warning: very low grad mean (6.18e-05)
[VisionTransformer] Warning: very low grad mean (6.88e-05)
[VisionTransformer] Warning: very low grad mean (2.93e-05)
[VisionTransformer] Warning: very low grad mean (6.53e-05)
[VisionTransformer] Warning: very low grad mean (5.00e-05)
[VisionTransformer] Warning: very low grad mean (2.47e-05)
[VisionTransformer] Warning: very low grad mean (6.36e-05)
[VisionTransformer] Warning: very low grad mean (6.18e-05)
[VisionTransformer] Warning: very low grad mean (6.72e-05)
[VisionTransformer] Train Epoch 5: Loss=0.01256, Acc=0.99762
[VisionTransformer] Val Epoch 5: Loss=0.14293, Acc=0.95778
[VisionTransformer] Warning: very low grad mean (7.20e-05)
[VisionTransformer] Warning: very low grad mean (8.40e-05)
[VisionTransformer] Warning: very low grad mean (8.16e-05)
[VisionTransformer] Warning: very low grad mean (2.61e-05)
[VisionTransformer] Warning: very low grad mean (4.17e-05)
[VisionTransformer] Warning: very low grad mean (4.00e-05)
[VisionTransformer] Warning: very low grad mean (2.73e-05)
[VisionTransformer] Warning: very low grad mean (8.02e-05)
[VisionTransformer] Warning: very low grad mean (7.46e-05)
[VisionTransformer] Warning: very low grad mean (1.44e-05)
[VisionTransformer] Warning: very low grad mean (6.98e-05)
[VisionTransformer] Warning: very low grad mean (1.92e-05)
[VisionTransformer] Warning: very low grad mean (2.93e-05)
[VisionTransformer] Warning: very low grad mean (6.65e-05)
[VisionTransformer] Warning: very low grad mean (1.89e-05)
[VisionTransformer] Warning: very low grad mean (3.95e-05)
[VisionTransformer] Warning: very low grad mean (3.92e-05)
[VisionTransformer] Warning: very low grad mean (3.36e-05)
[VisionTransformer] Warning: very low grad mean (5.25e-05)
[VisionTransformer] Warning: very low grad mean (2.73e-05)
[VisionTransformer] Warning: very low grad mean (3.00e-05)
[VisionTransformer] Warning: very low grad mean (1.78e-05)
[VisionTransformer] Warning: very low grad mean (6.23e-05)
[VisionTransformer] Warning: very low grad mean (7.57e-05)
[VisionTransformer] Warning: very low grad mean (7.71e-05)
[VisionTransformer] Warning: very low grad mean (1.26e-05)
[VisionTransformer] Warning: very low grad mean (1.52e-05)
[VisionTransformer] Warning: very low grad mean (3.19e-05)
[VisionTransformer] Warning: very low grad mean (1.39e-05)
