=== Training started for ResNet with strategy: partial ===
Device: cuda, LR: 0.0001, Batch size: 50, Epochs: 20
[Strategy 2] Training last 30.0% of layers (140/469): 28,633,602 / 58,668,866 (48.81%)
[ResNet] Train Epoch 1: Loss=0.37091, Acc=0.87048
[ResNet] Val Epoch 1: Loss=0.14784, Acc=0.93556
[ResNet] Train Epoch 2: Loss=0.08557, Acc=0.97524
[ResNet] Val Epoch 2: Loss=0.10959, Acc=0.95333
[ResNet] Warning: very low grad mean (8.35e-05)
[ResNet] Warning: very low grad mean (9.23e-05)
[ResNet] Warning: very low grad mean (9.33e-05)
[ResNet] Warning: very low grad mean (4.29e-05)
[ResNet] Warning: very low grad mean (7.61e-05)
[ResNet] Warning: very low grad mean (8.16e-05)
[ResNet] Warning: very low grad mean (3.45e-05)
[ResNet] Train Epoch 3: Loss=0.04615, Acc=0.98476
[ResNet] Val Epoch 3: Loss=0.12801, Acc=0.94444
[ResNet] Warning: very low grad mean (4.70e-05)
[ResNet] Warning: very low grad mean (5.09e-05)
[ResNet] Warning: very low grad mean (9.98e-05)
[ResNet] Warning: very low grad mean (7.77e-05)
[ResNet] Warning: very low grad mean (7.78e-05)
[ResNet] Warning: very low grad mean (6.16e-05)
[ResNet] Warning: very low grad mean (8.21e-05)
[ResNet] Warning: very low grad mean (8.58e-05)
[ResNet] Warning: very low grad mean (6.44e-05)
[ResNet] Warning: very low grad mean (8.61e-05)
[ResNet] Warning: very low grad mean (6.79e-05)
[ResNet] Warning: very low grad mean (4.00e-05)
[ResNet] Warning: very low grad mean (7.82e-05)
[ResNet] Warning: very low grad mean (3.01e-05)
[ResNet] Warning: very low grad mean (8.43e-05)
[ResNet] Warning: very low grad mean (3.78e-05)
[ResNet] Warning: very low grad mean (5.19e-05)
[ResNet] Warning: very low grad mean (6.86e-05)
[ResNet] Warning: very low grad mean (6.26e-05)
[ResNet] Warning: very low grad mean (9.80e-05)
[ResNet] Warning: very low grad mean (1.88e-05)
[ResNet] Train Epoch 4: Loss=0.02188, Acc=0.99476
[ResNet] Val Epoch 4: Loss=0.12438, Acc=0.95333
[ResNet] Warning: very low grad mean (8.97e-06)
[ResNet] Warning: very low grad mean (2.58e-05)
[ResNet] Warning: very low grad mean (2.66e-05)
[ResNet] Warning: very low grad mean (1.69e-05)
[ResNet] Warning: very low grad mean (2.74e-05)
[ResNet] Warning: very low grad mean (2.55e-05)
[ResNet] Warning: very low grad mean (3.21e-05)
[ResNet] Warning: very low grad mean (3.97e-05)
[ResNet] Warning: very low grad mean (2.55e-05)
[ResNet] Warning: very low grad mean (9.40e-05)
[ResNet] Warning: very low grad mean (2.54e-05)
[ResNet] Warning: very low grad mean (1.09e-05)
[ResNet] Warning: very low grad mean (6.10e-05)
[ResNet] Warning: very low grad mean (5.74e-05)
[ResNet] Warning: very low grad mean (8.95e-05)
[ResNet] Warning: very low grad mean (1.81e-05)
[ResNet] Warning: very low grad mean (2.51e-05)
[ResNet] Warning: very low grad mean (7.15e-06)
[ResNet] Warning: very low grad mean (3.61e-05)
[ResNet] Warning: very low grad mean (2.98e-05)
[ResNet] Warning: very low grad mean (4.70e-05)
[ResNet] Warning: very low grad mean (5.01e-05)
[ResNet] Warning: very low grad mean (6.56e-05)
[ResNet] Warning: very low grad mean (6.25e-05)
[ResNet] Warning: very low grad mean (9.61e-05)
[ResNet] Warning: very low grad mean (9.92e-05)
[ResNet] Warning: very low grad mean (7.08e-05)
[ResNet] Warning: very low grad mean (5.39e-05)
[ResNet] Warning: very low grad mean (1.93e-05)
[ResNet] Train Epoch 5: Loss=0.00845, Acc=0.99810
[ResNet] Val Epoch 5: Loss=0.14556, Acc=0.94889
[ResNet] Warning: very low grad mean (1.01e-05)
[ResNet] Warning: very low grad mean (7.57e-06)
[ResNet] Warning: very low grad mean (1.29e-05)
[ResNet] Warning: very low grad mean (1.23e-05)
[ResNet] Warning: very low grad mean (2.34e-05)
[ResNet] Warning: very low grad mean (4.73e-05)
