=== Training started for VisionTransformer with strategy: partial ===
Device: cuda, LR: 0.0001, Batch size: 50, Epochs: 20
[Strategy 2] Training last 30.0% of layers (46/154): 26,184,962 / 85,996,034 (30.45%)
[VisionTransformer] Train Epoch 1: Loss=0.24496, Acc=0.90095
[VisionTransformer] Val Epoch 1: Loss=0.08218, Acc=0.97111
[VisionTransformer] Warning: very low grad mean (9.28e-05)
[VisionTransformer] Train Epoch 2: Loss=0.06643, Acc=0.97714
[VisionTransformer] Val Epoch 2: Loss=0.06296, Acc=0.97333
[VisionTransformer] Warning: very low grad mean (7.31e-05)
[VisionTransformer] Warning: very low grad mean (8.29e-05)
[VisionTransformer] Warning: very low grad mean (6.05e-05)
[VisionTransformer] Warning: very low grad mean (7.19e-05)
[VisionTransformer] Warning: very low grad mean (3.34e-05)
[VisionTransformer] Warning: very low grad mean (4.53e-05)
[VisionTransformer] Warning: very low grad mean (9.20e-05)
[VisionTransformer] Warning: very low grad mean (7.95e-05)
[VisionTransformer] Warning: very low grad mean (9.19e-05)
[VisionTransformer] Train Epoch 3: Loss=0.01405, Acc=0.99667
[VisionTransformer] Val Epoch 3: Loss=0.13461, Acc=0.95778
[VisionTransformer] Warning: very low grad mean (7.78e-05)
[VisionTransformer] Warning: very low grad mean (2.92e-05)
[VisionTransformer] Warning: very low grad mean (4.79e-05)
[VisionTransformer] Warning: very low grad mean (6.82e-05)
[VisionTransformer] Warning: very low grad mean (5.04e-05)
[VisionTransformer] Warning: very low grad mean (8.48e-05)
[VisionTransformer] Warning: very low grad mean (2.57e-05)
[VisionTransformer] Warning: very low grad mean (6.27e-05)
[VisionTransformer] Warning: very low grad mean (6.13e-05)
[VisionTransformer] Warning: very low grad mean (2.58e-05)
[VisionTransformer] Warning: very low grad mean (5.32e-05)
[VisionTransformer] Warning: very low grad mean (4.94e-05)
[VisionTransformer] Warning: very low grad mean (2.41e-05)
[VisionTransformer] Warning: very low grad mean (3.41e-05)
[VisionTransformer] Warning: very low grad mean (2.84e-05)
[VisionTransformer] Warning: very low grad mean (4.24e-05)
[VisionTransformer] Warning: very low grad mean (5.08e-05)
[VisionTransformer] Warning: very low grad mean (1.74e-05)
[VisionTransformer] Warning: very low grad mean (4.39e-05)
[VisionTransformer] Warning: very low grad mean (2.07e-05)
[VisionTransformer] Warning: very low grad mean (7.89e-05)
[VisionTransformer] Warning: very low grad mean (2.53e-05)
[VisionTransformer] Warning: very low grad mean (1.89e-05)
[VisionTransformer] Warning: very low grad mean (2.74e-05)
[VisionTransformer] Warning: very low grad mean (2.36e-05)
[VisionTransformer] Warning: very low grad mean (2.24e-05)
[VisionTransformer] Warning: very low grad mean (2.20e-05)
[VisionTransformer] Warning: very low grad mean (8.03e-05)
[VisionTransformer] Warning: very low grad mean (1.27e-05)
[VisionTransformer] Warning: very low grad mean (2.16e-05)
[VisionTransformer] Warning: very low grad mean (1.84e-05)
[VisionTransformer] Warning: very low grad mean (2.23e-05)
[VisionTransformer] Warning: very low grad mean (1.78e-05)
[VisionTransformer] Train Epoch 4: Loss=0.00276, Acc=1.00000
[VisionTransformer] Val Epoch 4: Loss=0.10060, Acc=0.96889
[VisionTransformer] Warning: very low grad mean (1.81e-05)
[VisionTransformer] Warning: very low grad mean (3.02e-05)
[VisionTransformer] Warning: very low grad mean (2.85e-05)
[VisionTransformer] Warning: very low grad mean (1.80e-05)
[VisionTransformer] Warning: very low grad mean (1.68e-05)
[VisionTransformer] Warning: very low grad mean (2.17e-05)
[VisionTransformer] Warning: very low grad mean (1.28e-05)
[VisionTransformer] Warning: very low grad mean (7.78e-05)
[VisionTransformer] Warning: very low grad mean (1.48e-05)
[VisionTransformer] Warning: very low grad mean (3.72e-05)
[VisionTransformer] Warning: very low grad mean (2.14e-05)
[VisionTransformer] Warning: very low grad mean (3.97e-05)
[VisionTransformer] Warning: very low grad mean (5.37e-05)
[VisionTransformer] Warning: very low grad mean (1.71e-05)
[VisionTransformer] Warning: very low grad mean (1.29e-05)
[VisionTransformer] Warning: very low grad mean (5.06e-05)
[VisionTransformer] Warning: very low grad mean (3.29e-05)
[VisionTransformer] Warning: very low grad mean (1.77e-05)
[VisionTransformer] Warning: very low grad mean (1.32e-05)
[VisionTransformer] Warning: very low grad mean (1.29e-05)
[VisionTransformer] Warning: very low grad mean (8.53e-06)
[VisionTransformer] Warning: very low grad mean (6.35e-05)
[VisionTransformer] Warning: very low grad mean (1.23e-05)
[VisionTransformer] Warning: very low grad mean (1.92e-05)
[VisionTransformer] Warning: very low grad mean (1.38e-05)
[VisionTransformer] Warning: very low grad mean (2.99e-05)
[VisionTransformer] Warning: very low grad mean (8.32e-05)
[VisionTransformer] Warning: very low grad mean (1.92e-05)
[VisionTransformer] Warning: very low grad mean (3.08e-05)
[VisionTransformer] Warning: very low grad mean (2.30e-05)
[VisionTransformer] Warning: very low grad mean (1.11e-05)
[VisionTransformer] Warning: very low grad mean (2.65e-05)
[VisionTransformer] Warning: very low grad mean (9.14e-05)
[VisionTransformer] Train Epoch 5: Loss=0.00550, Acc=0.99857
[VisionTransformer] Val Epoch 5: Loss=0.14378, Acc=0.97333
[VisionTransformer] Warning: very low grad mean (2.41e-05)
[VisionTransformer] Warning: very low grad mean (1.24e-05)
[VisionTransformer] Warning: very low grad mean (1.17e-05)
[VisionTransformer] Warning: very low grad mean (1.21e-05)
[VisionTransformer] Warning: very low grad mean (1.62e-05)
[VisionTransformer] Warning: very low grad mean (9.27e-05)
[VisionTransformer] Warning: very low grad mean (9.07e-05)
[VisionTransformer] Warning: very low grad mean (1.60e-05)
[VisionTransformer] Warning: very low grad mean (2.44e-05)
[VisionTransformer] Warning: very low grad mean (3.10e-05)
[VisionTransformer] Warning: very low grad mean (1.45e-05)
[VisionTransformer] Warning: very low grad mean (1.58e-05)
[VisionTransformer] Warning: very low grad mean (7.42e-05)
[VisionTransformer] Warning: very low grad mean (1.85e-05)
[VisionTransformer] Warning: very low grad mean (4.82e-05)
[VisionTransformer] Warning: very low grad mean (2.02e-05)
[VisionTransformer] Warning: very low grad mean (1.89e-05)
[VisionTransformer] Warning: very low grad mean (9.86e-05)
[VisionTransformer] Warning: very low grad mean (2.52e-05)
[VisionTransformer] Warning: very low grad mean (2.05e-05)
[VisionTransformer] Warning: very low grad mean (5.62e-05)
[VisionTransformer] Warning: very low grad mean (1.60e-05)
[VisionTransformer] Warning: very low grad mean (1.44e-05)
[VisionTransformer] Warning: very low grad mean (1.78e-05)
[VisionTransformer] Warning: very low grad mean (3.87e-05)
[VisionTransformer] Warning: very low grad mean (7.13e-05)
[VisionTransformer] Warning: very low grad mean (1.04e-05)
[VisionTransformer] Warning: very low grad mean (9.71e-06)
[VisionTransformer] Warning: very low grad mean (4.20e-05)
[VisionTransformer] Warning: very low grad mean (1.73e-05)
[VisionTransformer] Warning: very low grad mean (1.52e-05)
[VisionTransformer] Warning: very low grad mean (1.45e-05)
